DATA,HORARIO,HORA,PERIODO JOGO,MANDANTE,PLACAR,VISITANTE,PUBLICO,ESTADIO,GOLS POR JOGO,GOLS MANDANTE,GOLS VISITANTE,VITORIA
2024-04-13,18:30,18,NOITE,Internacional,2–1,Bahia,"19,103",Estádio José Pinheiro Borba,3,2,1,MANDANTE
2024-04-14,16:00,16,TARDE,Ath Paranaense,4–0,Cuiabá,"21,388",Ligga Arena,4,4,0,MANDANTE
2024-04-14,16:00,16,TARDE,Vasco da Gama,2–1,Grêmio,"17,722",Estádio Club de Regatas Vasco da Gama,3,2,1,MANDANTE
2024-04-14,16:00,16,TARDE,Corinthians,0–0,Atlético Mineiro,"44,285",Neo Química Arena,0,0,0,EMPATE
2024-04-14,16:00,16,TARDE,Atl Goianiense,1–2,Flamengo,"31,617",Estádio do Governo do Estado de Goiás,3,1,2,VISITANTE
2024-04-14,17:00,17,TARDE,Cruzeiro,3–2,Botafogo (RJ),"20,701",Estádio Governador Magalhães Pinto,5,3,2,MANDANTE
2024-04-14,18:30,18,NOITE,Vitória,0–1,Palmeiras,"30,644",Estádio Manoel Barradas,1,0,1,VISITANTE
2024-04-13,21:00,21,NOITE,Fluminense,2–2,RB Bragantino,"17,645",Estadio Jornalista Mário Filho,4,2,2,EMPATE
2024-04-13,21:00,21,NOITE,São Paulo,1–2,Fortaleza,"35,055",Estádio do Morumbi,3,1,2,VISITANTE
2024-04-17,19:00,19,NOITE,Grêmio,2–0,Ath Paranaense,"13,236",Arena do Grêmio,2,2,0,MANDANTE
2024-04-17,19:00,19,NOITE,RB Bragantino,2–1,Vasco da Gama,"5,448",Estádio Nabi Abi Chedid,3,2,1,MANDANTE
2024-04-17,20:00,20,NOITE,Juventude,2–0,Corinthians,"7,478",Estádio Alfredo Jaconi,2,2,0,MANDANTE
2024-04-17,20:00,20,NOITE,Atlético Mineiro,1–1,Criciúma,"21,726",Arena MRV,2,1,1,EMPATE
2024-04-17,20:00,20,NOITE,Palmeiras,0–1,Internacional,"13,464",Allianz Parque,1,0,1,VISITANTE
2024-04-17,20:00,20,NOITE,Fortaleza,1–1,Cruzeiro,"21,726",Estádio Castelão,2,1,1,EMPATE
2024-04-16,21:30,21,NOITE,Bahia,2–1,Fluminense,"23,08",Itaipava Arena Fonte Nova,3,2,1,MANDANTE
2024-04-17,21:30,21,NOITE,Flamengo,2–1,São Paulo,"45,166",Estadio Jornalista Mário Filho,3,2,1,MANDANTE
2024-04-18,21:30,21,NOITE,Botafogo (RJ),1–0,Atl Goianiense,"7,801",Estádio Nilton Santos,1,1,0,MANDANTE
2024-04-20,16:00,16,TARDE,Fluminense,2–1,Vasco da Gama,"25,842",Estadio Jornalista Mário Filho,3,2,1,MANDANTE
2024-04-20,18:30,18,NOITE,RB Bragantino,1–0,Corinthians,"9,466",Estádio Nabi Abi Chedid,1,1,0,MANDANTE
2024-04-20,18:30,18,NOITE,Grêmio,1–0,Cuiabá,"22,904",Arena do Grêmio,1,1,0,MANDANTE
2024-04-21,16:00,16,TARDE,Vitória,2–2,Bahia,"27,609",Estádio Manoel Barradas,4,2,2,EMPATE
2024-04-21,16:00,16,TARDE,Palmeiras,0–0,Flamengo,"29,956",Allianz Parque,0,0,0,EMPATE
2024-04-21,16:00,16,TARDE,Ath Paranaense,1–0,Internacional,"29,784",Ligga Arena,1,1,0,MANDANTE
2024-04-21,18:30,18,NOITE,Atl Goianiense,0–3,São Paulo,"8,024",Estádio Antônio Accioly,3,0,3,VISITANTE
2024-04-21,18:30,18,NOITE,Botafogo (RJ),5–1,Juventude,"13,273",Estádio Municipal Nílton Santos,6,5,1,MANDANTE
2024-04-20,21:00,21,NOITE,Atlético Mineiro,3–0,Cruzeiro,"39,541",Arena MRV,3,3,0,MANDANTE
2024-04-27,16:00,16,TARDE,Vasco da Gama,0–4,Criciúma,"17,124",Estádio Club de Regatas Vasco da Gama,4,0,4,VISITANTE
2024-04-27,17:30 (18:30),17,TARDE,Cuiabá,0–3,Atlético Mineiro,"6,711",Arena Pantanal,3,0,3,VISITANTE
2024-04-28,11:00,11,TARDE,Flamengo,0–2,Botafogo (RJ),"53,683",Estadio Jornalista Mário Filho,2,0,2,VISITANTE
2024-04-28,16:00,16,TARDE,Cruzeiro,3–1,Vitória,"20,083",Estádio Governador Magalhães Pinto,4,3,1,MANDANTE
2024-04-28,16:00,16,TARDE,Corinthians,3–0,Fluminense,"42,119",Neo Química Arena,3,3,0,MANDANTE
2024-04-28,18:30,18,NOITE,Fortaleza,1–1,RB Bragantino,"18,113",Estádio Castelão,2,1,1,EMPATE
2024-04-28,18:30,18,NOITE,Juventude,1–1,Ath Paranaense,"5,032",Estádio Alfredo Jaconi,2,1,1,EMPATE
2024-04-28,20:00,20,NOITE,Internacional,1–1,Atl Goianiense,"28,468",Estádio José Pinheiro Borba,2,1,1,EMPATE
2024-04-27,21:00,21,NOITE,Bahia,1–0,Grêmio,"35,836",Itaipava Arena Fonte Nova,1,1,0,MANDANTE
2024-04-29,20:00,20,NOITE,São Paulo,0–0,Palmeiras,"55,694",Estádio do Morumbi,0,0,0,EMPATE
2024-05-04,16:00,16,TARDE,Fluminense,2–2,Atlético Mineiro,"5,168",Estádio Kleber José de Andrade,4,2,2,EMPATE
2024-05-04,18:30,18,NOITE,RB Bragantino,1–1,Flamengo,"9,917",Estádio Nabi Abi Chedid,2,1,1,EMPATE
2024-05-05,16:00,16,TARDE,Vitória,1–3,São Paulo,"25,739",Estádio Manoel Barradas,4,1,3,VISITANTE
2024-05-05,16:00,16,TARDE,Ath Paranaense,1–0,Vasco da Gama,"31,192",Ligga Arena,1,1,0,MANDANTE
2024-05-05,17:30 (18:30),17,TARDE,Cuiabá,0–2,Palmeiras,"10,781",Arena Pantanal,2,0,2,VISITANTE
2024-05-05,18:30,18,NOITE,Botafogo (RJ),1–2,Bahia,"22,685",Estádio Nilton Santos,3,1,2,VISITANTE
2024-05-04,21:00,21,NOITE,Corinthians,0–0,Fortaleza,"42,456",Neo Química Arena,0,0,0,EMPATE
2024-05-11,16:00,16,TARDE,Flamengo,2–0,Corinthians,"56,829",Estadio Jornalista Mário Filho,2,2,0,MANDANTE
2024-05-12,16:00,16,TARDE,Palmeiras,0–2,Ath Paranaense,"12,108",Arena Barueri,2,0,2,VISITANTE
2024-05-12,16:00,16,TARDE,Atl Goianiense,0–1,Cruzeiro,"7,576",Estádio Antônio Accioly,1,0,1,VISITANTE
2024-05-12,16:00,16,TARDE,Fortaleza,1–1,Botafogo (RJ),"15,914",Estádio Castelão,2,1,1,EMPATE
2024-05-12,18:30,18,NOITE,Bahia,1–0,RB Bragantino,"36,82",Itaipava Arena Fonte Nova,1,1,0,MANDANTE
2024-05-12,18:30,18,NOITE,Vasco da Gama,2–1,Vitória,"11,084",Estádio Club de Regatas Vasco da Gama,3,2,1,MANDANTE
2024-05-13,20:00,20,NOITE,São Paulo,2–1,Fluminense,"39,515",Estádio do Morumbi,3,2,1,MANDANTE
2024-06-01,16:00,16,TARDE,Vitória,0–2,Atl Goianiense,"16,008",Estádio Manoel Barradas,2,0,2,VISITANTE
2024-06-01,16:00,16,TARDE,Grêmio,0–2,RB Bragantino,"7,563",Estádio Major Antônio Couto Pereira,2,0,2,VISITANTE
2024-06-01,17:30 (18:30),17,TARDE,Cuiabá,0–1,Internacional,"5,747",Arena Pantanal,1,0,1,VISITANTE
2024-06-01,18:30,18,NOITE,Fluminense,1–1,Juventude,"21,037",Estadio Jornalista Mário Filho,2,1,1,EMPATE
2024-06-02,16:00,16,TARDE,Criciúma,1–2,Palmeiras,"19,027",Estádio Heriberto Hülse,3,1,2,VISITANTE
2024-06-02,16:00,16,TARDE,Atlético Mineiro,1–1,Bahia,"37,994",Arena MRV,2,1,1,EMPATE
2024-06-02,16:00,16,TARDE,Vasco da Gama,1–6,Flamengo,"62,228",Estadio Jornalista Mário Filho,7,1,6,VISITANTE
2024-06-02,18:30,18,NOITE,São Paulo,2–0,Cruzeiro,"44,928",Estádio do Morumbi,2,2,0,MANDANTE
2024-06-02,18:30,18,NOITE,Fortaleza,1–0,Ath Paranaense,"12,191",Estádio Municipal Presidente Getúlio Var...,1,1,0,MANDANTE
2024-06-01,21:00,21,NOITE,Corinthians,0–1,Botafogo (RJ),"41,281",Neo Química Arena,1,0,1,VISITANTE
2024-06-05,19:00 (20:00),19,NOITE,Cuiabá,0–0,Vitória,"3,614",Arena Pantanal,0,0,0,EMPATE
