TIME,TOTAL JOGOS,JOGOS MANDANTE,JOGOS VISITANTE,VITORIAS,EMPATES,DERROTAS,GOLS FEITOS,GOLS SOFRIDOS,MEDIA GOLS
Botafogo (RJ),38,19,19,23,5,10,59,29,1.55
Palmeiras,38,19,19,22,2,14,60,33,1.58
Flamengo,38,19,19,20,5,13,61,42,1.61
Fortaleza,38,19,19,19,5,14,53,39,1.39
Internacional,38,19,19,18,5,15,53,36,1.39
São Paulo,38,19,19,17,3,18,53,43,1.39
Corinthians,38,19,19,15,8,15,54,45,1.42
Bahia,38,19,19,15,3,20,49,49,1.29
Cruzeiro,38,19,19,14,5,19,43,41,1.13
Vasco da Gama,38,19,19,14,5,19,43,56,1.13
Vitória,38,19,19,13,3,22,45,52,1.18
Fluminense,38,19,19,12,8,18,33,39,0.87
Grêmio,38,19,19,12,2,24,44,50,1.16
Ath Paranaense,38,19,19,11,4,23,40,46,1.05
Juventude,37,19,18,11,6,20,47,58,1.27
Atlético Mineiro,38,19,19,11,7,20,47,54,1.24
RB Bragantino,38,19,19,10,7,21,44,48,1.16
Criciúma,37,18,19,9,7,21,41,60,1.11
Atl Goianiense,38,19,19,7,5,26,29,58,0.76
Cuiabá,38,19,19,6,5,27,29,49,0.76
